source,target
danish pop,electropop
danish pop,indie pop
danish pop,indie poptimism
danish pop,tropical house
indie pop,tropical house
alternative rock,modern folk rock
alternative rock,neo-psychedelic
alternative rock,philly indie
chamber pop,neo-psychedelic
chamber pop,philly indie
freak folk,modern folk rock
freak folk,neo-psychedelic
freak folk,philly indie
indie folk,neo-psychedelic
indie folk,philly indie
modern folk rock,neo-psychedelic
modern folk rock,noise pop
modern folk rock,philly indie
neo-psychedelic,noise pop
neo-psychedelic,philly indie
noise pop,philly indie
urban contemporary,viral pop
bc underground hip hop,dance pop
bc underground hip hop,electropop
bc underground hip hop,escape room
bc underground hip hop,hyperpop
bc underground hip hop,pop
bc underground hip hop,trap queen
canadian hip hop,dance pop
canadian hip hop,electropop
canadian hip hop,escape room
canadian hip hop,hyperpop
canadian hip hop,trap queen
chamber pop,progressive bluegrass
deep new americana,progressive bluegrass
deep new americana,stomp and flutter
progressive bluegrass,stomp and flutter
progressive bluegrass,stomp and holler
alternative metal,screamo
belarusian indie,russian post-punk
deep new americana,milwaukee indie
indie folk,milwaukee indie
milwaukee indie,new americana
dance pop,funk
funk,hip pop
hip pop,soul
british soul,neo mellow
british soul,post-teen pop
british soul,talent show
british soul,uk pop
british soul,urban contemporary
uk pop,urban contemporary
deep pop r&b,quiet storm
deep pop r&b,hip hop
neo soul,southern hip hop
popwave,retro electro
indie poptimism,progressive house
indonesian indie,indonesian pop
chillhop,portland hip hop
lo-fi beats,portland hip hop
austindie,deep new americana
austindie,folk-pop
austindie,indie folk
austindie,stomp and holler
deep new americana,folk-pop
anthem worship,christian rock
ccm,christian rock
christian pop,christian rock
christian rock,world worship
christian rock,worship
bass house,pop edm
bass house,tropical house
ambient,post-rock
compositional ambient,post-rock
electronica,post-rock
indietronica,post-rock
intelligent dance music,post-rock
antiviral pop,social media pop
comic,social media pop
australian dance,indie poptimism
australian dance,metropopolis
classical tenor,operatic pop
gamecore,jacksonville indie
disco,rock
europop,rock
dance rock,pop
mellow gold,pop
new wave pop,pop
pop,soft rock
pop,soul
bow pop,hard rock
bow pop,heartland rock
bow pop,progressive rock
hard rock,progressive rock
hard rock,symphonic rock
heartland rock,progressive rock
heartland rock,symphonic rock
mellow gold,progressive rock
progressive rock,soft rock
album rock,australian rock
australian rock,mellow gold
australian rock,rock
australian rock,soft rock
album rock,german hard rock
album rock,german metal
album rock,german rock
german hard rock,german metal
german hard rock,german rock
german hard rock,hard rock
german hard rock,metal
german hard rock,rock
german metal,german rock
german metal,hard rock
german metal,rock
german rock,hard rock
german rock,metal
german rock,rock
album rock,bow pop
art rock,bow pop
bow pop,classic rock
bow pop,folk rock
bow pop,glam rock
bow pop,mellow gold
bow pop,rock
bow pop,soft rock
bow pop,symphonic rock
folk rock,glam rock
glam rock,symphonic rock
adult standards,classic uk pop
adult standards,country rock
classic uk pop,country rock
classic uk pop,folk
classic uk pop,mellow gold
classic uk pop,singer-songwriter
classic uk pop,soft rock
album rock,synthpop
future funk,kawaii future bass
australian hip hop,australian reggae fusion
australian pop,australian reggae fusion
stomp and holler,swedish americana
stomp and holler,swedish country
swedish americana,swedish country
alternative metal,neo mellow
background music,sleep
focus,sleep
alternative rock,dance-punk
dance-punk,garage rock
dance-punk,rock
chinese hip hop,chinese idol pop
anthem emo,pixie
anthem emo,pop emo
cello,classify
calgary indie,canadian indie
calgary indie,experimental pop
calgary indie,freak folk
calgary indie,garage psych
calgary indie,indie rock
calgary indie,noise pop
calgary indie,stomp and holler
canadian indie,garage psych
garage psych,noise pop
garage psych,stomp and holler
country rock,outlaw country
folk,outlaw country
folk rock,outlaw country
outlaw country,singer-songwriter
outlaw country,traditional folk
bluegrass,folk
bluegrass,progressive bluegrass
country,country rock
country,folk
country,folk rock
country,lilith
country,mellow gold
country,roots rock
country,singer-songwriter
country,traditional folk
alaska indie,lilith
alaska indie,permanent wave
alaska indie,pop rock
alaska indie,singer-songwriter
lilith,singer-songwriter
art rock,pub rock
dance rock,singer-songwriter
folk,pub rock
folk rock,pub rock
mellow gold,pub rock
permanent wave,pub rock
power pop,pub rock
power pop,singer-songwriter
pub rock,rock
pub rock,roots rock
pub rock,singer-songwriter
folk,progressive bluegrass
indie folk,progressive bluegrass
new americana,progressive bluegrass
contemporary jazz,indie jazz
contemporary jazz,indie soul
contemporary jazz,modern jazz piano
contemporary jazz,neo r&b
contemporary jazz,neo soul
contemporary post-bop,indie jazz
contemporary post-bop,indie soul
contemporary post-bop,modern jazz piano
contemporary post-bop,neo r&b
contemporary post-bop,neo soul
indie jazz,jazz
indie jazz,modern jazz piano
indie soul,jazz
indie soul,modern jazz piano
jazz,modern jazz piano
jazz,neo r&b
jazz,neo soul
modern jazz piano,neo r&b
modern jazz piano,neo soul
alternative country,alternative rock
alternative country,country rock
alternative country,folk
alternative country,folk rock
alternative country,heartland rock
alternative country,jangle pop
alternative country,lilith
alternative country,new americana
alternative country,pop rock
alternative country,power pop
alternative country,roots rock
alternative country,traditional folk
alternative rock,country rock
alternative rock,folk
alternative rock,folk rock
alternative rock,heartland rock
alternative rock,jangle pop
alternative rock,lilith
alternative rock,new americana
alternative rock,power pop
alternative rock,roots rock
alternative rock,traditional folk
country rock,jangle pop
country rock,lilith
country rock,new americana
country rock,power pop
folk,jangle pop
folk,power pop
folk rock,jangle pop
folk rock,new americana
heartland rock,jangle pop
heartland rock,new americana
heartland rock,power pop
heartland rock,traditional folk
jangle pop,lilith
jangle pop,new americana
jangle pop,pop rock
jangle pop,power pop
jangle pop,roots rock
jangle pop,traditional folk
lilith,power pop
new americana,power pop
pop rock,traditional folk
power pop,roots rock
power pop,traditional folk
country,outlaw country
country road,outlaw country
modern country rock,outlaw country
outlaw country,redneck
latin alternative,mexican rock
latin viral pop,perreo
mexican pop,reggaeton
pop,stomp and holler
instrumental bluegrass,irish dance
instrumental bluegrass,string folk
irish dance,string folk
classic uk pop,dance rock
classic uk pop,new romantic
classic uk pop,new wave
classic uk pop,new wave pop
classic uk pop,pub rock
classic uk pop,punk
dance rock,pub rock
dance rock,punk
new romantic,pub rock
new romantic,punk
new wave,pub rock
new wave,punk
new wave pop,pub rock
new wave pop,punk
pub rock,punk
celtic,operatic pop
irish rock,modern rock
irish rock,permanent wave
irish rock,pop rock
irish rock,rock
canadian celtic,celtic
canadian celtic,irish folk
canadian celtic,irish pub song
celtic,irish folk
celtic,irish pub song
irish folk,irish pub song
cork indie,irish rock
cork indie,irish singer-songwriter
bow pop,classify
classify,pop violin
album rock,blues
album rock,british blues
album rock,modern blues
blues,blues rock
blues,british blues
blues,classic rock
blues,country rock
blues,electric blues
blues,hard rock
blues,modern blues
blues,psychedelic rock
blues,rock
blues rock,british blues
blues rock,modern blues
british blues,classic rock
british blues,country rock
british blues,electric blues
british blues,hard rock
british blues,modern blues
british blues,psychedelic rock
british blues,rock
classic rock,modern blues
country rock,electric blues
country rock,modern blues
electric blues,hard rock
electric blues,modern blues
electric blues,psychedelic rock
hard rock,modern blues
modern blues,psychedelic rock
modern blues,rock
girl group,new jack swing
binaural,brain waves
binaural,sleep
brain waves,sleep
art pop,oxford indie
chamber pop,oxford indie
dream pop,electronica
dream pop,oxford indie
electronica,oxford indie
big beat,hip hop
big beat,nu jazz
big beat,turntablism
downtempo,hip hop
downtempo,turntablism
electronica,hip hop
electronica,turntablism
hip hop,nu jazz
hip hop,trip hop
hip hop,turntablism
nu jazz,turntablism
trip hop,turntablism
album rock,art pop
art pop,classic rock
art pop,mellow gold
art pop,rock
art pop,soft rock
art pop,symphonic rock
dance rock,symphonic rock
mellow gold,symphonic rock
permanent wave,symphonic rock
rock,symphonic rock
soft rock,symphonic rock
ambient,ambient idm
ambient,compositional ambient
ambient,electronica
ambient,indietronica
ambient,intelligent dance music
ambient,microhouse
ambient,neo-classical
ambient idm,compositional ambient
ambient idm,electronica
ambient idm,indietronica
ambient idm,intelligent dance music
ambient idm,microhouse
ambient idm,neo-classical
compositional ambient,indietronica
compositional ambient,intelligent dance music
compositional ambient,microhouse
indietronica,microhouse
indietronica,neo-classical
intelligent dance music,neo-classical
microhouse,neo-classical
alternative r&b,chamber psych
alternative r&b,electra
alternative r&b,experimental pop
alternative r&b,fluxwork
art pop,electra
art pop,uk contemporary r&b
chamber psych,electra
chamber psych,indie r&b
chamber psych,indie soul
chamber psych,uk contemporary r&b
electra,electropop
electra,escape room
electra,experimental pop
electra,fluxwork
electra,indie r&b
electra,indie soul
electra,uk contemporary r&b
electronica,uk contemporary r&b
electropop,fluxwork
electropop,uk contemporary r&b
escape room,uk contemporary r&b
experimental pop,indie r&b
experimental pop,indie soul
experimental pop,uk contemporary r&b
fluxwork,indie r&b
fluxwork,indie soul
fluxwork,uk contemporary r&b
australian pop,australian singer-songwriter
australian pop,indie anthem-folk
australian singer-songwriter,folk-pop
australian singer-songwriter,indie anthem-folk
cook islands pop,fijian pop
cook islands pop,jawaiian
cook islands pop,polynesian pop
fijian pop,jawaiian
fijian pop,polynesian pop
deep house,float house
deep house,german techno
deep house,hamburg electronic
deep house,minimal techno
electronica,german techno
electronica,hamburg electronic
electronica,tech house
float house,german techno
float house,hamburg electronic
float house,indie soul
float house,tech house
german techno,hamburg electronic
german techno,indie soul
german techno,microhouse
hamburg electronic,indie soul
hamburg electronic,microhouse
hamburg electronic,minimal techno
hamburg electronic,tech house
indie soul,microhouse
indie soul,minimal techno
indie soul,tech house
microhouse,tech house
latin talent show,mexican pop
alternative emo,modern alternative rock
alternative emo,modern rock
alternative emo,uk pop punk
anthem emo,modern alternative rock
anthem emo,modern rock
modern alternative rock,uk pop punk
modern rock,uk pop punk
chinese indie,chinese minyao
chinese indie,mainland chinese pop
chinese minyao,mainland chinese pop
chinese minyao,mandopop
bass trap,la pop
atmosphere,musica de fondo
atmosphere,world meditation
musica de fondo,world meditation
cali rap,modern alternative rock
catstep,deep big room
catstep,progressive electro house
gaming edm,tropical house
